Name,Description,Color,Notes,UserId
Premium,High-end luxury products,#FFD700,For expensive premium items,1
Budget,Affordable and cost-effective products,#32CD32,Great value for money,1
Gaming,Products designed for gaming enthusiasts,#FF4500,Optimized for gaming performance,1
Professional,Products for business and professional use,#4169E1,Enterprise and professional grade,1
Portable,Lightweight and easy to carry,#FF69B4,Great for travel and mobility,1
Eco-Friendly,Environmentally conscious products,#228B22,Sustainable and green technology,1
Innovative,Cutting-edge technology and features,#9370DB,Latest technological advances,1
Popular,Widely liked and recommended products,#FF1493,Customer favorites and bestsellers,1
Durable,Long-lasting and robust construction,#8B4513,Built to last,1
Compact,Small size and space-saving design,#20B2AA,Perfect for small spaces,1